=== VoD High-Tris Objects Report ===
Tổng 1146 object có mesh, tổng 492,252 tris (trong đó 1089 object đang ACTIVE, 482,766 tris active).
Top 60 theo tris (kể cả inactive, đánh dấu [inactive]):

  1.     8,363 tris  -- TiepKhach/Decor/PH_GrandfatherClock/rig_vintage_grandfather_clock_01/vintage_grandfather_clock_01_Body
  2.     8,308 tris  -- PhongAn/noithatphongan/Candelabra
  3.     8,218 tris  -- PhongAn/noithatphongan/ChinaCabinet
  4.     8,166 tris  -- PhongAn/noithatphongan/CleanDiningTable_Final (1)
  5.     8,166 tris  -- PhongAn/noithatphongan/TaxidermyHead
  6.     8,166 tris  -- BonHoaCung/DaiPhunNuoc_CoBon
  7.     8,166 tris  -- PhongAn/noithatphongan/WallSconce
  8.     7,000 tris  -- ThuPhong/Interior/Furn_Desk_Study
  9.     7,000 tris  -- Salon/noithatphongkhach/Furn_Sofa_Colonial
 10.     7,000 tris  -- ThuPhong/Interior/Furn_Bookshelf_Colonial (4)
 11.     7,000 tris  -- ThuPhong/Interior/Furn_Bookshelf_Colonial
 12.     7,000 tris  -- Salon/noithatphongkhach/Furn_Sofa_Colonial (1)
 13.     7,000 tris  -- ThuPhong/Interior/Furn_Sofa_Colonial
 14.     7,000 tris  -- ThuPhong/Interior/Furn_Bookshelf_Colonial (3)
 15.     6,750 tris  -- ThuPhong/Interior/Prop_MusicBox_Cylinder
 16.     6,750 tris  -- ── PROPS ──/Prop_MusicBox_Cylinder
 17.     6,682 tris  -- Salon/noithatphongkhach/gramophone/gramophone
 18.     6,112 tris  -- Salon/noithatphongkhach/antique_light/antique_light
 19.     6,112 tris  -- PhongAn/noithatphongan/antique_light (1)/antique_light
 20.     5,440 tris  -- Salon/noithatphongkhach/phone
 21.     4,500 tris [inactive]  -- Player/PlayerCamera/FlashlightRig/Prop_Flashlight_Ch1
 22.     4,500 tris  -- Hanh_Lang_Trai/Decor/Prop_Lamp_TableOil (1)
 23.     4,500 tris  -- Hanh_Lang_Phai/Decor/Prop_Lamp_TableOil
 24.     4,499 tris  -- ThuPhong/Interior/Prop_Curtain_Torn
 25.     4,499 tris  -- ThuPhong/Interior/Prop_Curtain_Torn (1)
 26.     4,499 tris  -- Hanh_Lang_Phai/Decor/Prop_Vase_Ceramic
 27.     4,499 tris  -- TiepKhach/Decor/Prop_Curtain_Torn (1)
 28.     4,499 tris  -- TiepKhach/Decor/Prop_Curtain_Torn (3)
 29.     4,499 tris  -- TiepKhach/Decor/Prop_Curtain_Torn (2)
 30.     4,400 tris  -- ── PROPS ──/Prop_Portrait_Family
 31.     4,398 tris  -- TiepKhach/Decor/Prop_Frame_Portrait
 32.     3,980 tris  -- Salon/noithatphongkhach/tv_desk/tv_desk
 33.     3,378 tris  -- sofa_small/sofa_small
 34.     3,263 tris  -- BonHoaCung/DryBranch_FB3_1
 35.     3,263 tris  -- BonHoaCung/DryBranch_FB4_2
 36.     3,263 tris  -- BonHoaCung/DryBranch_FB4_3
 37.     3,263 tris  -- BonHoaCung/DryBranch_FB2_7
 38.     3,263 tris  -- BonHoaCung/DryBranch_FB2_1
 39.     3,263 tris  -- BonHoaCung/DryBranch_FB3_6
 40.     3,263 tris  -- BonHoaCung/DryBranch_FB4_8
 41.     3,263 tris  -- BonHoaCung/DryBranch_FB3_5
 42.     3,263 tris  -- BonHoaCung/DryBranch_FB1_7
 43.     3,263 tris  -- BonHoaCung/DryBranch_FB3_7
 44.     3,172 tris  -- sofa_big/sofa_big
 45.     3,088 tris  -- BonHoaCung/DryBranch_FB4_4
 46.     3,088 tris  -- BonHoaCung/DryBranch_FB2_6
 47.     3,088 tris  -- BonHoaCung/DryBranch_FB4_5
 48.     3,088 tris  -- BonHoaCung/DryBranch_FB2_2
 49.     3,088 tris  -- BonHoaCung/DryBranch_FB2_3
 50.     3,088 tris  -- BonHoaCung/DryBranch_FB1_2
 51.     3,088 tris  -- BonHoaCung/DryBranch_FB2_5
 52.     3,088 tris  -- BonHoaCung/DryBranch_FB1_1
 53.     3,088 tris  -- BonHoaCung/DryBranch_FB2_4
 54.     3,088 tris  -- BonHoaCung/DryBranch_FB3_8
 55.     3,088 tris  -- BonHoaCung/DryBranch_FB4_7
 56.     3,062 tris  -- Salon/noithatphongkhach/tea_table 1
 57.     2,977 tris  -- Salon/noithatphongkhach/photo_frame_desk/desk
 58.     2,966 tris  -- Salon/noithatphongkhach/bookshelf (1)
 59.     2,966 tris  -- Salon/noithatphongkhach/bookshelf
 60.     2,890 tris  -- BonHoaCung/DryBranch_FB3_2
